Column,Value,MaxCount
Giới (Kingdom),Plantae,3551
Nhánh (Clade),"Tracheophyta
Angiospermae
Eudicots
Asterids",32
Không phân hạng,"Angiospermae
Eudicots",1163
Bộ (Order),Asparagales,446
Họ (Family),Orchidaceae,398
Chi (Genus),Dendrobium,54
Loài,A. poilanei,6
Loài,C. petelotii,6
Loài,A. chinensis,6
