Column,NullCount
no,0
Folder(NamePlant),0
Giới (Kingdom),718
Nhánh (Clade),4153
Không phân hạng,1015
Bộ (Order),720
Họ (Family),719
Chi (Genus),720
Loài,728
Số lượng ảnh,0
Mô tả,2
