Value
Acorales
Alismatales
Apiales
Aquifoliales
Arecales
Asparagales
Asterales
Austrobaileyales
Boraginales
Brassicales
Bộ Ban Hypericales
Bộ Hòa thảo
Bộ Măng tâyAsparagales
Caryophyllales
Celastrales
Chưa đặt
Commelinales
Cornales
Crossosomatales
Cucurbitales
Cupressales
Cyatheales
Cycadales
Dioscoreales
Dipsacales
Equisetales
Ericales
Eudicots
Fabales
Fagales
Gentianales
Geraniales
Gleicheniales
Gnetales
Huerteales
Hymenophyllales
Lamiales
Laurales
Liliales
Lycopodiales
Magnoliales
Malpighiales
Malvales
Marattiales
Myrtales
Nymphaeales
Ophioglossales
Osmundales
Oxalidales
Pandanales
Petrosaviales
Pinales
Piperales
Poales
Polypodiales
Proteales
Pteridales
Ranunculales
Rosales
Salviniales
Santalales
Sapindales
Saxifragales
Schizaeales
Selaginellales
Solanales
Theales
Urticales
Vitales
Zingiberales
Zygophyllales
