Value
Abelmoschus
Abrus
Acacia
Acalypha
Acanthus
Acer
Achillea
Achyranthes
Aconitum
Acorus
Acrachne
Acroceras
Acrostichum
Actephila
Actinidia
Actinodaphne
Adansonia
Adenia
Adenoncos
Adenosma
Adenostemma
Adiantum
Adina
Adinandra
Aeginetia
Aeluropus
Aerides
Aerva
Aeschynanthus
Aeschynomene
Afzelia
Aganope
Aganosma
Agapanthus
Agapetes
Agastache
Agave
Agelaea
Ageratum
Aglaia
"AglaodorumSchott, 1858"
Aglaomorpha
Aglaonema
Agrostis
Agrostophyllum
Aidia
Ailanthus
Ainsliaea
Ajuga
Alangium
Albertisia
Albizia
Alchornea
Aletris
Alisma
Allium
Allophylus
Alloteropsis
Alniphyllum
Alnus
Alocasia
Aloe
Alphitonia
Alphonsea
Alpinia
Alseodaphne
Alseodaphnopsis
Alstonia
Alternanthera
Altingia
Alysicarpus
Alyxia
Amalocalyx
Amaranthus
Amentotaxus
Amischotolype
Ammannia
Amomum
Amoora
Amorphophallus
Ampelocalamus
Ampelocissus
Ampelopteris
Anacardium
Anacolosa
Anadendrum
Anaphalis
Ancistrocladus
Andrographis
Andropogon
Androsace
Anemone
Angelica
Angelonia
Angiopteris
Ania
Aniseia
Aniselytron
Anisomeles
Anisophyllea
Anisoptera
Anneslea
Annona
Anodendron
Anoectochilus
Anomianthus
Antheroporum
Anthogonium
Anthurium
Antidesma
Antigonon
Antrophyum
Aphananthe
Aphyllorchis
Apium
Apocopis
Aponogeton
Aporosa
Apostasia
Appendicula
Aquilaria
Aquilegia
Arachnis
Aralia
Araucaria
Arcangelisia
Archiboehmeria
Archidendron
Ardisia
Areca
Arenga
Argostemma
Argyreia
Arisaema
Aristida
Aristolochia
Artabotrys
Artemisia
Arthraxon
Arthrophyllum
Artocarpus
Arundina
Arundinella
Arytera
Asarum
Ascocentrum
Asparagus
Aspidistra
Aspidopterys
Asplenium
Aster
Astilbe
Astragalus
Asystasia
Asystasiella
Atalantia
Atrichodendron
Averrhoa
Avicenia
Avicennia
Axonopus
Azadirachta
Azolla
Baccaurea
Bacopa
Balanophora
Bambusa
Barclaya
Barleria
Barringtonia
Barthea
Bauhinia
BauhiniaL.[1]
Beaumontia
Beccarinda
Begonia
Beilschmiedia
Belvisia
Benincasa
Berberis
Berchemia
Bergia
Berrya
Beta
Bidens
Biermannia
Biophytum
BischofiaBlume
Blachia
Blainvillea
Blechnum
Bletilla
Blumea
Blumeopsis
Blyxa
Boea
Boehmeria
Boeica
Boesenbergia
Bolbitis
Bombax
Borassus
Bothriochloa
Botrychium
Bouea
Bougainvillea
Bousigonia
Bowringia
Brachiaria
Brachycorythis
Brachypeza
Brainea
Brassaiopsis
Brassica
"BretschneideraHemsl., 1901"
Breynia
Bridelia
Briggsia
Bromheadia
Broussonetia
Brownea
Brownlowia
Brucea
Bruguiera
Brunfelsia
Buchanania
Buddleja
Bulbophyllum
Bulbostylis
Burmannia
Butea
Byttneria
Caesalpinia
Cajanus
CaladiumVent.
Calamus
Calanthe
Calendula
Callerya
Callicarpa
CallistephusCass.
Calocedrus
Calophyllum
Calopogonium
Calotis
Calotropis
Calymmodon
Camchaya
Camellia
Campsis
Campylotropis
Cananga
Canarium
Canavalia
Canna
Canscora
Capillipedium
Capparis
Cardamine
Cardiospermum
Carex
Careya
Carpesium
Carpinus
Carthamus
Carya
Caryodaphnopsis
Caryota
Casearia
Cassia
Cassine
Cassytha
Castanopsis
Catasetum
Cayratia
Celastrus
Celtis
Cenchrus
Centaurea
Centella
Centranthera
Centrolepis
Centrosema
Cephalanthera
Cephalantheropsis
Cephalanthus
Cephalomanes
Cephalostachyum
Cephalotaxus
Ceratopteris
Ceratostylis
Cerbera
Ceropegia
Cestrum
Chamabainia
Chamaecrista
Chamaedorea
Champereia
Cheilanthes
Cheiropleuria
Cheirostylis
Chenopodium
Chi Hoa hiênHemerocallis
Chiloschista
Chimonobambusa
Chionographis
Chisocheton
Chlorophytum
Choerospondias
Christia
Christisonia
Chroesthes
Chromolaena
Chrysanthemum
Chrysoglossum
Chrysopogon
Chukrasia
Chuniophoenix
Cinnamomum
Cipadessa
Circaea
Cirsium
Cissampelos
Cissus
Citharexylum
Cladium
CladogynosZipp.exSpan.
Cladopus
Claoxylon
Cleidiocarpon
Cleidion
Cleisomeria
Cleisostoma
Cleisostomopsis
Cleistanthus
Cleome
Clerodendrum
Clethra
Clinopodium
Clitoria
Cnestis
Coccinia
CocosL.
Codariocalyx
Codonacanthus
Codonopsis
Coelachne
Coelogyne
Coelorachis
Coffea
Coix
Cola
"ColdeniaL., 1753"
Collabium
Colocasia
Colona
Colquhounia
Colubrina
Colysis
Combretum
Commelina
Commersonia
Conamomum
Congea
Coniogramme
Connarus
Conyza
Coptis
Coptosapelta
Corchorus
Cordia
Cordyline
Coreopsis
Cornus
Corybas
Corydalis
Corypha
Coscinium
Cosmos
Costus
Cotula
Craibiodendron
Craigia
Crassocephalum
Crateva
Cratoxylum
Crawfurdia
Cremastra
Crepidium
Crepidomanes
Crepis
Crescentia
Crinum
Crotalaria
Croton
Crudia
Crypsinus
Crypteronia
Cryptocarya
Cryptochilus
Cryptocoryne
Cryptomeria
CryptotaeniaDC.
Ctenopteris
Cucumis
Cucurbita
Cunninghamia
Cupressus
Curculigo
Curcuma
Cuscuta
Cyamopsis
Cyanotis
Cyathostemma
Cyathula
Cycas
Cyclacanthus
Cyclea
Cyclocarpa
Cymbidium
Cymbopogon
Cymodocea
Cynanchum
Cynodon
Cynoglossum
Cynometra
Cyperus
Cypripedium
Cyrtococcum
Cyrtosia
Cyrtostachys
Dacrycarpus
Dacryodes
Dactyloctenium
Dahlia
Dalbergia
Dalechampia
Damrongia
Daphne
Daphniphyllum
Dasygrammitis
Dasymaschalon
Datura
DavidiaBaillon
Debregeasia
Decaspermum
Deeringia
Dehaasia
Deinostigma
Delonix
Dendrobium
Dendrocalamus
DendrocalamusNees
Dendrocnide
Dendrolobium
Dendropanax
Dendrotrophe
Derris
DerrisLour.
Desmodium
Desmos
Desmostachya
Deutzianthus
Dianthus
Dichanthium
Dichorisandra
Dichroa
Dichrocephala
Dicliptera
Dicranopteris
Dictyospermum
Didymocarpus
Didymoplexiopsis
Didymoplexis
"DigitalisEhrh.,1792"
Digitaria
Dimeria
Dimocarpus
Dinochloa
Dioscorea
Diospyros
"DipentodonDunn, 1911"
Diphasiastrum
Diplazium
Diplectria
Diploclisia
Diplomeris
Diplopterygium
Diplycosia
Dipodium
Dipsacus
Dipterocarpus
Disanthus
Dischidia
Disporum
Distichochlamys
Distylium
Dolichandrone
Dolichos
Dopatrium
Doryopteris
Dracaena
Dregea
Drimycarpus
Drynaria
Drypetes
Duhaldea
Dumasia
Dunbaria
Duranta
Dypsis
Dyschoriste
Dysolobium
Dysoxylum
Eberhardtia
Ecbolium
Echinochloa
Eclipta
Ehretia
Elaeagnus
Elaeis
Elaeocarpus
Elaphoglossum
Elatostema
Eleocharis
Elephantopus
Eleusine
Eleutherococcus
Elsholtzia
Embelia
Embolanthera
Emilia
Endiandra
Engelhardtia
EnhalusRich.[2]
Enkianthus
Ensete
Entada
Enydra
Epaltes
Epigeneium
Epilobium
Epimedium
Epiphyllum
Epipremnum
Epiprinus
Episcia
Epithema
Equisetum
Eragrostis
Eranthemum
Erechtites
Eremochloa
Eria
Erigeron
Eriocaulon
Eriochloa
Eriophorum
Erismanthus
Erycibe
Eryngium
Erythrina
Erythrodes
Erythrophleum
Erythroxylum
Esmeralda
Etlingera
Eucalyptus
Euchresta
Eulalia
Eulophia
Euonymus
Eupatorium
Euphorbia
Eurya
Eurycoma
Euscaphis
Eustigma
Euthemis
Evolvulus
Exacum
Exbucklandia
Excoecaria
Exotheca
Fagraea
Fallopia
Fatoua
Fernandoa
Fibraurea
Ficus
Fimbristylis
Firmiana
Fissistigma
Flacourtia
Flagellaria
Flemingia
Flickingeria
Floscopa
Flueggea
FoeniculumMill.
Fordiophyton
Fraxinus
Freesia
Freycinetia
Friesodielsia
Fuchsia
Gaertnera
Gagnepainia
Gahnia
Gaillardia
Galactia
Galeandra
Garcinia
GarrettiaH.R.Fletcher
Garuga
Gastrochilus
Gastrodia
Gaultheria
Geissaspis
Genianthus
Geodorum
Geostachys
Geranium
Gerbera
Germainia
Gigantochloa
Girardinia
Gironniera
Glebionis
Glechoma
Gleditsia
GlehniaF.Schmidt
Gliricidia
Globba
Glochidion
Gloriosa
Glossocardia
Glossocarya
Gluta
Glycine
Glycyrrhiza
Glyptopetalum
GlyptostrobusEndl.[2]
Gmelina
Gnaphalium
Gnetum
Gomphandra
Gomphogyne
Gomphostemma
Gomphrena
Goniophlebium
Goniothalamus
Gonostegia
Goodyera
Gordonia
Gossypium
Grammitis
Grangea
Grevillea
Grewia
Guazuma
Guioa
Gymnema
Gymnocladus
Gymnosporia
Gymnotheca
Gynostemma
Gynura
Habenaria
Halodule
Halophila
HancockiaRolfe
Hapaline
Haplopteris
Harpullia
Harrisonia
Hartia
Hedera
Hedychium
Hedyotis
Helianthus
Helicia
Heliciopsis
Heliconia
Helicteres
Heliotropium
Helixanthera
Helwingia
Hemarthria
Hemiboea
Hemigraphis
Hemionitis
Hemipilia
Hemisorghum
Hemsleya
Heptapleurum
Heracleum
Heritiera
Hetaeria
Heteropanax
Heteropogon
Heterosmilax
Heterostemma
Hewittia
Hibiscus
Hiepia
Hippeastrum
HippomaneL.
Hiptage
Hodgsonia
Holarrhena
Holboellia
Holcoglossum
Homalium
"HomalocladiumL. H. Bailey, 1929"
Homalomena
Homonoia
Hopea
Hornstedtia
Horsfieldia
Hoya
Humulus
Huodendron
Huperzia
Hydnocarpus
Hydrangea
Hydrobryum
Hydrocharis
Hydrocotyle
Hygrochilus
Hylocereus
Hymenaea
Hymenocallis
Hymenophyllum
Hymenopyramis
Hyparrhenia
Hypodematium
Hypolytrum
Hypoxis
Ilex
Illicium
Illigera
Impatiens
Imperata
Indigofera
Indosasa
Indosinia
Inula
Iphigenia
Ipomoea
Iresine
Irvingia
Isachne
Ischaemum
Isodon
Itea
Itoa
Ixeris
Jacaranda
Jacquemontia
Jasminum
Jatropha
Juglans
Juncus
Justicia
Kadsura
Kaempferia
Kalanchoe
