Value
Acanthaceae
Achariaceae
Acoraceae
Actinidiaceae
Adiantaceae
Agavaceae
Aizoaceae
Akaniaceae
Alismataceae
Alliaceae
Altingiaceae
Amaranthaceae
Amaryllidaceae
Anacardiaceae
Ancistrocladaceae
Anisophylleaceae
Annonaceae
Apiaceae
Apocynaceae
Aponogetonaceae
Aquifoliaceae
Araceae
Araliaceae
Araucariaceae
Arecaceae
Aristolochiaceae
Asparagaceae
Asphodelaceae(nghĩa hẹp)Xanthorrhoeaceae(nghĩa rộng)
Aspleniaceae
Asteraceae
Athyriaceae
Balanophoraceae
Balsaminaceae
Begoniaceae
Berberidaceae
Betulaceae
Bignoniaceae
Blechnaceae
Boraginaceae
Brassicaceae
Burmanniaceae
Burseraceae
Cactaceae
Calophyllaceae
Campanulaceae
Cannabaceae
Cannaceae
Capparaceae
Caprifoliaceae
Caryophyllaceae
Celastraceae
Centrolepidaceae
Cleomaceae
Clethraceae
Clusiaceae
Colchicaceae
"ColdeniaceaeJ.S.Mill.&Gottschling, 2016"
Combretaceae
Commelinaceae
Connaraceae
Convolvulaceae
Cornaceae
Costaceae
Crassulaceae
Crypteroniaceae
Cucurbitaceae
CucurbitaceaeJuss.
Cupressaceae
Cycadaceae
Cymodoceaceae
Cyperaceae
Daphniphyllaceae
Dennstaedtiaceae
Diapensiaceae
Dioscoreaceae
"DipentodontaceaeMerr., 1941"
Dipteridaceae
Dipterocarpaceae
Dryopteridaceae
Ebenaceae
Ehretiaceae
Elaeagnaceae
Elaeocarpaceae
Elatinaceae
Equisetaceae
Ericaceae
Eriocaulaceae
Erythroxylaceae
Euphorbiaceae
Fabaceae
Fagaceae
Flagellariaceae
Gentianaceae
Geraniaceae
Gesneriaceae
Gleicheniaceae
Gnetaceae
Goodeniaceae
Hamamelidaceae
Heliconiaceae
Helwingiaceae
Hernandiaceae
Hydrangeaceae
Hydrocharitaceae
Hymenophyllaceae
Hypericaceae
Hypoxidaceae
Họ Lan nhật quangHemerocallidaceae
Iridaceae
Irvingiaceae
Iteaceae
Juglandaceae
Juncaceae
Lamiaceae
Lardizabalaceae
Lauraceae
Lecythidaceae
Liliaceae
Linaceae
Loganiaceae
Lomariopsidaceae
Loranthaceae
Lowiaceae
Lycopodiaceae
Lygodiaceae
Lythraceae
Magnoliaceae
Malpighiaceae
Malvaceae
Malvaceaes.l (hayBombacaceae)
Marantaceae
Marattiaceae
Marsileaceae
Melanthiaceae
Melastomataceae
Meliaceae
Menispermaceae
Molluginaceae
Moraceae
Muntingiaceae
Musaceae
Myricaceae
Myristicaceae
Myrtaceae
Nartheciaceae
Nephrolepidaceae
Nyctaginaceae
Nymphaeaceae
Ochnaceae
Olacaceae
Oleaceae
Onagraceae
Ophioglossaceae
Opiliaceae
Orchidaceae
Orobanchaceae
Osmundaceae
Oxalidaceae
Paeoniaceae
Pandanaceae
Papaveraceae
Passifloraceae
Paulowniaceae
Pentaphylacaceae
Petrosaviaceae
Phyllanthaceae
Pinaceae
Piperaceae
Pittosporaceae
Plagiogyriaceae
Plantaginaceae
Poaceae
Podocarpaceae
Podostemaceae
Polemoniaceae
Polygalaceae
Polygonaceae
Polypodiaceae
"PolypodiaceaeBercht.&J.Presl, 1820"
Pontederiaceae
Portulacaceae
Potamogetonaceae
Primulaceae
Proteaceae
Pteridaceae
Putranjivaceae
Ranunculaceae
Rhamnaceae
Rhizophoraceae
Rubiaceae
Rutaceae
Salicaceae
Salviniaceae
Santalaceae
Sapindaceae
Sapindaceae[1]
Sapotaceae
Saururaceae
Saxifragaceae
Schisandraceae
Scrophulariaceae
Selaginellaceae
Simaroubaceae
Smilacaceae
Solanaceae
Staphyleaceae
Stemonaceae
Stemonuraceae
Stixaceae
Stylidiaceae
Styracaceae
Symplocaceae
Taccaceae
Tapisciaceae
Taxaceae
Tetramelaceae
Theaceae
Thelypteridaceae
Thymelaeaceae
Triuridaceae
Typhaceae
Urticaceae
Verbenaceae
Violaceae
Vitaceae
Vitidaceae
Woodsiaceae
Xyridaceae
Zingiberaceae
Zosteraceae
Zygophyllaceae
