Value
Angiosperae
Angiospermae
Angiosperms
Asterids
Commelinids
Core eudicots
Eudicot
Eudicots
Eupolypods I
Eupolypods II
Gymnospermae
Magnoliid
Magnoliidae
Magnoliids
Mesangiospermae
Monocot
Monocots
Monocotyledones
Rosid
Rosids
Thực vật có hoa
Thực vật hạt kín
Thực vật một lá mầm
không xếp
